1st degree av block,atrial fibrillation,left bundle branch block,premature atrial contraction,right bundle branch block,sinus rhythm,st depression,st elevation,ventricular ectopics,micro avg,macro avg,weighted avg,samples avg,classifier_name
0.8549618320610688,0.9377593360995852,0.918918918918919,0.7289719626168223,0.9234828496042216,0.7936507936507937,0.8268156424581005,0.5263157894736842,0.8554216867469879,0.8588957055214724,0.818477645736687,0.8564199469044028,0.8345463367297429,inception_sc-n-bp_10000_CPSC2018
0.8333333333333333,0.9451476793248944,0.9230769230769232,0.7747747747747747,0.9408740359897172,0.8117647058823529,0.8111111111111111,0.6,0.8333333333333333,0.8663028649386084,0.8303795440918267,0.8639256691404827,0.8384279475982532,inception_sc-n-bp_10000_CPSC2018
0.8656716417910447,0.9451476793248944,0.8500000000000001,0.7826086956521738,0.9457364341085271,0.7891891891891891,0.802197802197802,0.5128205128205129,0.8101265822784809,0.8598510494245092,0.8114998374847361,0.8577810403352213,0.8360019408054341,inception_sc-n-bp_10000_CPSC2018
0.8676470588235294,0.9658119658119658,0.95,0.75,0.9536082474226804,0.8021390374331552,0.8089887640449438,0.5238095238095238,0.8571428571428571,0.8727272727272728,0.8310163838320728,0.8714096003592676,0.8554099951479863,inception_sc-n-bp_10000_CPSC2018
0.888888888888889,0.9535864978902951,0.9047619047619048,0.7522935779816514,0.9484536082474228,0.8172043010752689,0.8202247191011235,0.4864864864864864,0.8484848484848485,0.8733920108327691,0.8244872036575434,0.8700002426913505,0.8474041727316836,inception_sc-n-bp_10000_CPSC2018
0.8656716417910447,0.9535864978902951,0.8947368421052632,0.7826086956521738,0.9465648854961832,0.8111111111111111,0.8135593220338984,0.6,0.8520710059171598,0.8739042481456508,0.8355455557774589,0.8721062595250856,0.8524987869966038,inception_sc-n-bp_10000_CPSC2018
0.8346456692913385,0.9344978165938864,0.8500000000000001,0.7666666666666667,0.9387755102040816,0.7888888888888889,0.7928994082840237,0.4615384615384615,0.7950310559006211,0.8483184625943719,0.7958826085964409,0.8455613294151569,0.817079087821446,inception_sc-n-bp_10000_CPSC2018
0.8467153284671534,0.9322033898305084,0.9268292682926828,0.8108108108108107,0.935064935064935,0.8152173913043478,0.7771428571428571,0.5714285714285715,0.8,0.8592896174863389,0.8239347280379853,0.8562373262436764,0.8316351285783601,inception_sc-n-bp_10000_CPSC2018
0.8740740740740741,0.9535864978902951,0.9047619047619048,0.7169811320754716,0.9479166666666666,0.7885714285714285,0.8087431693989071,0.4761904761904762,0.8488372093023256,0.8631436314363143,0.8132958398812833,0.8606893435510432,0.8379427462396895,inception_sc-n-bp_10000_CPSC2018
0.8467153284671534,0.9262295081967212,0.9268292682926828,0.7130434782608696,0.9484536082474228,0.8228571428571428,0.8139534883720931,0.5789473684210527,0.8433734939759036,0.8644986449864499,0.824489187232338,0.8615067164494786,0.8398835516739447,inception_sc-n-bp_10000_CPSC2018
0.8507462686567163,0.94017094017094,0.95,0.7894736842105262,0.9347258485639688,0.7668393782383419,0.7888888888888889,0.5,0.8235294117647058,0.8516042780748663,0.8160416022771209,0.8528652519882298,0.8355167394468704,inception_sc-n_10000_CPSC2018
0.8721804511278196,0.9406779661016949,0.9230769230769232,0.7407407407407408,0.9462915601023018,0.8222222222222222,0.8241758241758241,0.631578947368421,0.8098159509202455,0.8693877551020407,0.8345289539817992,0.8664943721431048,0.8437651625424553,inception_sc-n_10000_CPSC2018
0.8636363636363636,0.935064935064935,0.95,0.743362831858407,0.9514066496163682,0.7794871794871796,0.7978142076502732,0.4705882352941176,0.8383233532934132,0.8600269179004038,0.8144093062112288,0.857271557860604,0.8393983503153808,inception_sc-n_10000_CPSC2018
0.8270676691729324,0.9338842975206612,0.8500000000000001,0.7592592592592592,0.9387755102040816,0.8089887640449438,0.8172043010752689,0.4761904761904762,0.8192771084337349,0.8554135843981171,0.8034052651001509,0.8526595680771278,0.8357593401261525,inception_sc-n_10000_CPSC2018
0.8592592592592593,0.9658119658119658,0.8292682926829269,0.7222222222222223,0.9489795918367347,0.7888888888888889,0.8222222222222222,0.5,0.8148148148148147,0.8614130434782609,0.8057185841932261,0.858279424417146,0.8326055312954876,inception_sc-n_10000_CPSC2018
0.8676470588235294,0.946058091286307,0.9268292682926828,0.8070175438596491,0.9487179487179488,0.8111111111111111,0.8044692737430169,0.5,0.8711656441717791,0.8746630727762804,0.8314462155562249,0.8724796866460118,0.853954391072295,inception_sc-n_10000_CPSC2018
0.8484848484848486,0.9451476793248944,0.8648648648648649,0.7692307692307692,0.9540816326530612,0.8287292817679558,0.8361581920903955,0.5238095238095238,0.8606060606060606,0.8743243243243243,0.8256792058702638,0.8725458752086478,0.8558951965065502,inception_sc-n_10000_CPSC2018
0.880597014925373,0.9491525423728816,0.8500000000000001,0.7962962962962963,0.9489795918367347,0.7956989247311828,0.7861271676300577,0.4210526315789474,0.8117647058823529,0.8612051455653351,0.8044076528059807,0.8579067317095451,0.8374575448811257,inception_sc-n_10000_CPSC2018
0.8740740740740741,0.9535864978902951,0.8947368421052632,0.6923076923076923,0.923076923076923,0.8152173913043478,0.8333333333333334,0.5714285714285715,0.8433734939759036,0.8631436314363143,0.8223483132773782,0.8602782647794966,0.8398835516739447,inception_sc-n_10000_CPSC2018
0.8529411764705883,0.9262295081967212,0.9268292682926828,0.7037037037037038,0.9448818897637796,0.8333333333333334,0.8,0.5,0.8433734939759036,0.861392832995267,0.8145880415263014,0.8574800200550204,0.8386705482775353,inception_sc-n_10000_CPSC2018
