,1st degree av block,atrial fibrillation,left bundle branch block,premature atrial contraction,right bundle branch block,sinus rhythm,st depression,st elevation,ventricular ectopics,micro avg,macro avg,weighted avg,samples avg
0,0.8085106382978723,0.9090909090909092,0.8648648648648649,0.41304347826086957,0.8877551020408163,0.7023809523809522,0.7683615819209039,0.31818181818181823,0.6,0.765840220385675,0.6969099272265562,0.7570119595745451,0.7082484230955848
1,0.8028169014084506,0.8947368421052632,0.75,0.36170212765957444,0.9132653061224489,0.7053140096618357,0.6896551724137931,0.27906976744186046,0.6410256410256411,0.757412398921833,0.6708428630932075,0.7488091092107486,0.7153808830664726
2,0.8345323741007195,0.9043478260869565,0.7647058823529413,0.32941176470588235,0.9197860962566844,0.7120418848167539,0.7485380116959064,0.3783783783783784,0.5859872611464968,0.7700987306064881,0.6864143866156355,0.7569607320408717,0.7156720038816108
3,0.7969924812030075,0.9145299145299146,0.8292682926829269,0.4716981132075472,0.8987012987012988,0.6835443037974683,0.7403314917127073,0.3076923076923077,0.6511627906976744,0.7701863354037267,0.6993245549138725,0.7637929707402203,0.699126637554585
4,0.8633093525179856,0.9177489177489179,0.8500000000000001,0.36538461538461536,0.9289340101522842,0.7241379310344829,0.7395833333333334,0.4390243902439025,0.691358024691358,0.7907921462423831,0.724386730567431,0.7840780298234394,0.7404172731683649
5,0.8378378378378378,0.923076923076923,0.8500000000000001,0.509090909090909,0.9104859335038363,0.6666666666666667,0.7362637362637364,0.34146341463414637,0.6369426751592357,0.7777031564808596,0.7124253440259212,0.772527403744111,0.7256186317321689
6,0.7786259541984734,0.9137931034482759,0.8717948717948718,0.3789473684210526,0.917098445595855,0.6907216494845361,0.6233766233766234,0.3137254901960785,0.670807453416149,0.7567567567567567,0.6843212177702127,0.7503219612240078,0.6916545366327025
7,0.8137931034482757,0.8974358974358974,0.8292682926829269,0.41071428571428575,0.9047619047619048,0.7039106145251397,0.7840909090909092,0.39024390243902435,0.625,0.7708049113233287,0.7065798788998181,0.7663497519212201,0.7115477923338186
8,0.8000000000000002,0.864406779661017,0.8500000000000001,0.462962962962963,0.9198966408268734,0.7111111111111111,0.73224043715847,0.31818181818181823,0.6666666666666667,0.7704807041299931,0.7028296018409912,0.7661415623192973,0.7207666181465308
9,0.8507462686567163,0.9098712446351932,0.8292682926829269,0.4,0.9067357512953369,0.6666666666666667,0.7657142857142858,0.42857142857142855,0.6322580645161291,0.7741046831955922,0.7099813336376316,0.7670437999967771,0.7113051916545365
