,1st degree av block,atrial fibrillation,left bundle branch block,premature atrial contraction,right bundle branch block,sinus rhythm,st depression,st elevation,ventricular ectopics,micro avg,macro avg,weighted avg,samples avg
0,0.8345323741007195,0.9137931034482759,0.9268292682926829,0.4482758620689655,0.8860759493670887,0.6989247311827956,0.7222222222222223,0.380952380952381,0.6285714285714286,0.7662682602921647,0.715575257800729,0.7638523923620179,0.7246482290150412
1,0.8260869565217392,0.9075630252100839,0.9230769230769231,0.4444444444444445,0.8987012987012988,0.6410256410256409,0.7292817679558011,0.4081632653061225,0.6296296296296295,0.7651098901098902,0.7119969946524093,0.7600728230914162,0.7059679767103348
2,0.8208955223880597,0.9155555555555556,0.8888888888888888,0.3789473684210526,0.9292929292929293,0.7113402061855669,0.7027027027027027,0.2916666666666667,0.6075949367088608,0.7681849082256967,0.694098308534476,0.7614849476370015,0.7125181950509462
3,0.7536231884057971,0.9029535864978903,0.8500000000000001,0.4715447154471545,0.9144385026737968,0.6629834254143647,0.6994535519125683,0.3684210526315789,0.6289308176100629,0.7562797012898846,0.6947054267325793,0.7547769480308415,0.7011159631246967
4,0.851063829787234,0.9310344827586207,0.8717948717948718,0.44036697247706424,0.9190600522193212,0.6976744186046512,0.7173913043478259,0.35000000000000003,0.608187134502924,0.7749830047586677,0.7096192296102793,0.770573414720345,0.7176128093158661
5,0.8064516129032259,0.8636363636363636,0.8837209302325582,0.32608695652173914,0.9175257731958762,0.7078651685393258,0.7261904761904763,0.27999999999999997,0.5675675675675675,0.7512402551381998,0.6754494276430147,0.7417597882543167,0.6859776807375061
6,0.7943262411347518,0.9184549356223175,0.8500000000000001,0.42201834862385323,0.91005291005291,0.6931818181818182,0.7142857142857142,0.3684210526315789,0.6012269938650308,0.7630136986301369,0.6968853349331083,0.7577935448821397,0.7020863658418244
7,0.7891156462585034,0.9145299145299146,0.918918918918919,0.45454545454545453,0.922680412371134,0.6741573033707866,0.7173913043478259,0.3111111111111111,0.6153846153846154,0.7654155495978551,0.7019816312042517,0.7623619114907139,0.7150412421154779
8,0.8450704225352113,0.9145299145299146,0.8500000000000001,0.38383838383838376,0.9133858267716536,0.6931818181818182,0.6896551724137931,0.3111111111111111,0.5935483870967742,0.7621023513139696,0.6882578929420734,0.7541552354326184,0.6999029597282873
9,0.8137931034482757,0.8983050847457628,0.9500000000000001,0.4132231404958678,0.9322916666666666,0.6737967914438503,0.7118644067796609,0.3157894736842105,0.5815602836879433,0.763784887678693,0.6989582167724708,0.7575902739272026,0.7078602620087336
