,1st degree av block,atrial fibrillation,left bundle branch block,premature atrial contraction,right bundle branch block,sinus rhythm,st depression,st elevation,ventricular ectopics,micro avg,macro avg,weighted avg,samples avg
0,0.8549618320610688,0.9377593360995852,0.918918918918919,0.7289719626168223,0.9234828496042217,0.7936507936507937,0.8268156424581005,0.5263157894736842,0.8554216867469879,0.8588957055214724,0.818477645736687,0.8564199469044028,0.8345463367297429
1,0.8333333333333333,0.9451476793248945,0.9230769230769231,0.7747747747747747,0.9408740359897172,0.8117647058823529,0.8111111111111111,0.6,0.8333333333333333,0.8663028649386084,0.8303795440918267,0.8639256691404827,0.8384279475982532
2,0.8656716417910447,0.9451476793248945,0.8500000000000001,0.7826086956521738,0.9457364341085271,0.7891891891891891,0.802197802197802,0.5128205128205129,0.8101265822784809,0.8598510494245092,0.8114998374847361,0.8577810403352213,0.8360019408054341
3,0.8676470588235294,0.9658119658119658,0.9500000000000001,0.75,0.9536082474226804,0.8021390374331552,0.8089887640449438,0.5238095238095238,0.8571428571428571,0.8727272727272728,0.8310163838320728,0.8714096003592676,0.8554099951479863
4,0.888888888888889,0.9535864978902953,0.9047619047619047,0.7522935779816514,0.9484536082474228,0.8172043010752689,0.8202247191011235,0.48648648648648646,0.8484848484848485,0.8733920108327691,0.8244872036575434,0.8700002426913505,0.8474041727316836
5,0.8656716417910447,0.9535864978902953,0.8947368421052632,0.7826086956521738,0.9465648854961832,0.8111111111111111,0.8135593220338984,0.6,0.8520710059171598,0.8739042481456508,0.8355455557774589,0.8721062595250856,0.8524987869966038
6,0.8346456692913385,0.9344978165938865,0.8500000000000001,0.7666666666666667,0.9387755102040817,0.7888888888888889,0.7928994082840237,0.4615384615384615,0.7950310559006211,0.8483184625943719,0.7958826085964409,0.8455613294151569,0.817079087821446
7,0.8467153284671534,0.9322033898305084,0.9268292682926829,0.8108108108108107,0.935064935064935,0.8152173913043478,0.7771428571428571,0.5714285714285715,0.8,0.8592896174863389,0.8239347280379853,0.8562373262436764,0.8316351285783601
8,0.8740740740740741,0.9535864978902953,0.9047619047619047,0.7169811320754716,0.9479166666666666,0.7885714285714285,0.8087431693989071,0.4761904761904762,0.8488372093023256,0.8631436314363143,0.8132958398812833,0.8606893435510432,0.8379427462396895
9,0.8467153284671534,0.9262295081967213,0.9268292682926829,0.7130434782608696,0.9484536082474228,0.8228571428571428,0.8139534883720931,0.5789473684210527,0.8433734939759036,0.8644986449864499,0.824489187232338,0.8615067164494786,0.8398835516739447
