,1st degree av block,atrial fibrillation,left bundle branch block,premature atrial contraction,right bundle branch block,sinus rhythm,st depression,st elevation,ventricular ectopics,micro avg,macro avg,weighted avg,samples avg
0,0.832116788321168,0.8793103448275863,0.8500000000000001,0.43200000000000005,0.8821917808219177,0.6951871657754011,0.7407407407407408,0.34285714285714286,0.6708860759493671,0.7605829285218598,0.7028100043659248,0.7595049311081744,0.7018437651625424
1,0.7801418439716311,0.8765957446808511,0.744186046511628,0.5043478260869565,0.8934010152284263,0.7184466019417476,0.7640449438202247,0.3225806451612903,0.6375,0.767797737857618,0.6934716297114174,0.7610364041714125,0.7294517224648229
2,0.823529411764706,0.9361702127659575,0.8947368421052632,0.48648648648648646,0.9015544041450776,0.6888888888888889,0.7218934911242604,0.4210526315789474,0.619047619047619,0.7761806981519507,0.7214844431008007,0.7715573369868238,0.7176128093158661
3,0.8358208955223881,0.9075630252100839,0.8095238095238095,0.4791666666666667,0.8954423592493297,0.746987951807229,0.7734806629834253,0.35897435897435903,0.6533333333333333,0.787878787878788,0.7178103403634029,0.7787038400409808,0.7265890344492965
4,0.787878787878788,0.9098712446351932,0.8571428571428572,0.35955056179775285,0.9250645994832042,0.6900584795321637,0.6987951807228916,0.31818181818181823,0.662420382165605,0.7694483734087695,0.6898848790600305,0.7584889423454544,0.706647258612324
5,0.7142857142857142,0.8918918918918919,0.9230769230769231,0.36170212765957444,0.882051282051282,0.6914893617021277,0.6293706293706294,0.4081632653061225,0.6357615894039735,0.7403708987161198,0.6819769760831376,0.7312533445218294,0.6715186802523048
6,0.8345323741007195,0.9198312236286921,0.8947368421052632,0.5263157894736842,0.9032258064516129,0.6775956284153006,0.7469879518072289,0.4210526315789474,0.6496815286624205,0.7850847457627118,0.7304399751359854,0.7789124448424617,0.7273168364871422
7,0.7681159420289856,0.908296943231441,0.8500000000000001,0.47457627118644075,0.905852417302799,0.6748466257668712,0.7126436781609196,0.3684210526315789,0.6133333333333334,0.7623007623007624,0.6973429181824855,0.7559973174200704,0.6940805434255215
8,0.8175182481751825,0.9396551724137931,0.8500000000000001,0.3673469387755102,0.9109414758269719,0.7262569832402235,0.7118644067796609,0.3461538461538462,0.675,0.776566757493188,0.7049707857072431,0.770748342427741,0.7310528869480835
9,0.738255033557047,0.9106382978723405,0.72,0.2933333333333333,0.922680412371134,0.7263157894736842,0.7764705882352941,0.2926829268292683,0.64,0.7720994475138121,0.6689307090746779,0.7542002546764061,0.7219311014070839
